 1  0.745
 2  0.515
 3  0.415
 4  0.355
 5  0.315
 6  0.285
 7  0.260
 8  0.245
 9  0.230
10  0.215
11  0.205
12  0.195
13  0.190
14  0.180
15  0.175
16  0.170
17  0.165
18  0.160
19  0.155
20  0.150
21  0.145
22  0.145
23  0.140
24  0.135
25  0.135
26  0.130
27  0.130
28  0.125
29  0.125
30  0.120
31  0.120
32  0.120
33  0.115
34  0.115
35  0.110
36  0.110
37  0.110
38  0.110
39  0.105
40  0.105
41  0.105
42  0.100
43  0.100
44  0.100
45  0.100
46  0.100
47  0.095
48  0.095
49  0.095
50  0.095

